,id,date,group,average_mood
26,AS14.01,2014-03-21,1,6.2
27,AS14.01,2014-03-22,1,6.4
28,AS14.01,2014-03-23,1,6.8
29,AS14.01,2014-03-24,1,6.0
30,AS14.01,2014-03-25,1,6.75
31,AS14.01,2014-03-26,1,6.6
32,AS14.01,2014-03-27,1,7.0
33,AS14.01,2014-03-28,1,6.4
34,AS14.01,2014-03-29,1,8.0
35,AS14.01,2014-03-30,1,7.5
36,AS14.01,2014-03-31,1,7.4
37,AS14.01,2014-04-01,1,6.0
38,AS14.01,2014-04-02,1,6.5
39,AS14.01,2014-04-03,1,6.4
40,AS14.01,2014-04-04,1,6.2
41,AS14.01,2014-04-05,1,6.8
42,AS14.01,2014-04-06,1,6.5
43,AS14.01,2014-04-07,1,6.5
44,AS14.01,2014-04-08,1,6.6
45,AS14.01,2014-04-09,1,7.4
46,AS14.01,2014-04-10,1,7.4
47,AS14.01,2014-04-11,1,7.0
48,AS14.01,2014-04-12,1,7.25
49,AS14.01,2014-04-13,1,8.0
50,AS14.01,2014-04-14,1,7.2
51,AS14.01,2014-04-15,1,6.4
52,AS14.01,2014-04-16,1,7.2
53,AS14.01,2014-04-17,1,6.6
54,AS14.01,2014-04-18,1,6.8
55,AS14.01,2014-04-19,1,7.8
56,AS14.01,2014-04-20,1,7.25
57,AS14.01,2014-04-21,1,7.6
58,AS14.01,2014-04-22,1,7.4
59,AS14.01,2014-04-23,1,7.6
60,AS14.01,2014-04-24,1,7.6
61,AS14.01,2014-04-25,1,7.2
62,AS14.01,2014-04-26,1,7.6
63,AS14.01,2014-04-27,1,7.5
64,AS14.01,2014-04-28,1,7.6
65,AS14.01,2014-04-29,1,7.0
66,AS14.01,2014-04-30,1,7.8
67,AS14.01,2014-05-01,1,8.0
68,AS14.01,2014-05-02,1,7.6
69,AS14.01,2014-05-03,1,8.0
70,AS14.01,2014-05-04,1,8.0
99,AS14.02,2014-03-16,2,6.333333333333333
100,AS14.02,2014-03-17,2,6.75
101,AS14.02,2014-03-18,2,8.2
102,AS14.02,2014-03-19,2,6.8
103,AS14.02,2014-03-20,2,7.25
104,AS14.02,2014-03-21,2,7.5
105,AS14.02,2014-03-22,2,6.5
106,AS14.02,2014-03-23,2,6.25
107,AS14.02,2014-03-24,2,6.4
108,AS14.02,2014-03-25,2,7.75
109,AS14.02,2014-03-26,2,7.2
110,AS14.02,2014-03-27,2,7.25
111,AS14.02,2014-03-28,2,6.8
112,AS14.02,2014-03-29,2,7.25
113,AS14.02,2014-03-30,2,7.0
114,AS14.02,2014-03-31,2,7.2
115,AS14.02,2014-04-01,2,7.4
116,AS14.02,2014-04-02,2,6.4
117,AS14.02,2014-04-03,2,5.75
118,AS14.02,2014-04-04,2,6.4
119,AS14.02,2014-04-05,2,7.4
120,AS14.02,2014-04-06,2,4.5
121,AS14.02,2014-04-07,2,6.8
122,AS14.02,2014-04-08,2,6.25
123,AS14.02,2014-04-09,2,7.25
124,AS14.02,2014-04-10,2,7.25
125,AS14.02,2014-04-11,2,6.5
126,AS14.02,2014-04-12,2,6.0
127,AS14.02,2014-04-13,2,7.2
128,AS14.02,2014-04-14,2,8.0
129,AS14.02,2014-04-15,2,7.25
130,AS14.02,2014-04-16,2,6.666666666666667
131,AS14.02,2014-04-17,2,6.5
132,AS14.02,2014-04-18,2,6.5
133,AS14.02,2014-04-19,2,5.666666666666667
134,AS14.02,2014-04-20,2,5.0
135,AS14.02,2014-04-21,2,5.5
136,AS14.02,2014-04-22,2,5.666666666666667
137,AS14.02,2014-04-23,2,5.5
138,AS14.02,2014-04-24,2,7.0
139,AS14.02,2014-04-25,2,9.0
168,AS14.03,2014-03-21,3,9.0
169,AS14.03,2014-03-22,3,7.8
170,AS14.03,2014-03-23,3,8.2
171,AS14.03,2014-03-24,3,7.8
172,AS14.03,2014-03-25,3,7.8
173,AS14.03,2014-03-26,3,8.25
174,AS14.03,2014-03-27,3,7.75
175,AS14.03,2014-03-28,3,8.0
176,AS14.03,2014-03-29,3,8.6
177,AS14.03,2014-03-30,3,8.4
178,AS14.03,2014-03-31,3,7.4
179,AS14.03,2014-04-01,3,7.6
180,AS14.03,2014-04-02,3,7.4
181,AS14.03,2014-04-03,3,7.8
182,AS14.03,2014-04-04,3,7.8
183,AS14.03,2014-04-05,3,7.6
184,AS14.03,2014-04-06,3,6.8
185,AS14.03,2014-04-07,3,7.4
186,AS14.03,2014-04-08,3,7.4
187,AS14.03,2014-04-09,3,7.8
188,AS14.03,2014-04-10,3,7.4
189,AS14.03,2014-04-11,3,7.6
190,AS14.03,2014-04-12,3,7.666666666666667
191,AS14.03,2014-04-13,3,7.4
192,AS14.03,2014-04-14,3,7.0
193,AS14.03,2014-04-15,3,7.6
194,AS14.03,2014-04-16,3,8.0
195,AS14.03,2014-04-17,3,7.25
196,AS14.03,2014-04-18,3,7.5
197,AS14.03,2014-04-19,3,7.8
198,AS14.03,2014-04-20,3,7.5
199,AS14.03,2014-04-21,3,7.4
200,AS14.03,2014-04-22,3,7.6
201,AS14.03,2014-04-23,3,7.0
202,AS14.03,2014-04-24,3,7.4
203,AS14.03,2014-04-25,3,7.5
204,AS14.03,2014-04-26,3,7.5
205,AS14.03,2014-04-27,3,7.6
206,AS14.03,2014-04-28,3,7.0
207,AS14.03,2014-04-29,3,7.2
208,AS14.03,2014-04-30,3,7.0
209,AS14.03,2014-05-01,3,7.2
210,AS14.03,2014-05-02,3,7.6
211,AS14.03,2014-05-03,3,7.75
212,AS14.03,2014-05-04,3,7.4
213,AS14.03,2014-05-05,3,7.25
234,AS14.05,2014-03-14,5,8.0
235,AS14.05,2014-03-15,5,6.2
236,AS14.05,2014-03-16,5,6.333333333333333
237,AS14.05,2014-03-17,5,6.0
238,AS14.05,2014-03-18,5,7.5
239,AS14.05,2014-03-19,5,6.75
240,AS14.05,2014-03-20,5,7.2
241,AS14.05,2014-03-21,5,7.25
242,AS14.05,2014-03-22,5,3.75
243,AS14.05,2014-03-23,5,4.4
244,AS14.05,2014-03-24,5,3.75
245,AS14.05,2014-03-25,5,5.333333333333333
246,AS14.05,2014-03-26,5,5.5
247,AS14.05,2014-03-27,5,5.8
248,AS14.05,2014-03-28,5,6.2
249,AS14.05,2014-03-29,5,6.4
250,AS14.05,2014-03-30,5,6.2
251,AS14.05,2014-03-31,5,6.8
252,AS14.05,2014-04-01,5,7.0
253,AS14.05,2014-04-02,5,7.0
254,AS14.05,2014-04-03,5,7.2
255,AS14.05,2014-04-04,5,7.0
256,AS14.05,2014-04-05,5,7.5
257,AS14.05,2014-04-06,5,6.8
258,AS14.05,2014-04-07,5,6.75
259,AS14.05,2014-04-08,5,6.75
260,AS14.05,2014-04-09,5,7.0
261,AS14.05,2014-04-10,5,7.2
262,AS14.05,2014-04-11,5,7.0
263,AS14.05,2014-04-12,5,7.0
264,AS14.05,2014-04-13,5,7.5
265,AS14.05,2014-04-14,5,6.4
266,AS14.05,2014-04-15,5,7.0
267,AS14.05,2014-04-16,5,7.2
268,AS14.05,2014-04-17,5,6.6
269,AS14.05,2014-04-18,5,7.5
270,AS14.05,2014-04-19,5,7.2
271,AS14.05,2014-04-20,5,7.2
272,AS14.05,2014-04-21,5,7.2
273,AS14.05,2014-04-22,5,7.2
274,AS14.05,2014-04-23,5,7.2
275,AS14.05,2014-04-24,5,7.2
276,AS14.05,2014-04-25,5,7.2
277,AS14.05,2014-04-26,5,7.8
278,AS14.05,2014-04-27,5,7.4
279,AS14.05,2014-04-28,5,7.0
280,AS14.05,2014-04-29,5,6.8
281,AS14.05,2014-04-30,5,7.0
282,AS14.05,2014-05-01,5,6.8
283,AS14.05,2014-05-02,5,7.0
284,AS14.05,2014-05-03,5,6.75
285,AS14.05,2014-05-04,5,7.0
286,AS14.05,2014-05-05,5,6.333333333333333
315,AS14.06,2014-03-24,6,7.0
316,AS14.06,2014-03-25,6,7.0
317,AS14.06,2014-03-26,6,8.0
318,AS14.06,2014-03-27,6,7.0
319,AS14.06,2014-03-28,6,7.6
320,AS14.06,2014-03-29,6,7.8
321,AS14.06,2014-03-30,6,7.8
322,AS14.06,2014-03-31,6,7.0
323,AS14.06,2014-04-01,6,7.75
324,AS14.06,2014-04-02,6,6.8
325,AS14.06,2014-04-03,6,7.2
326,AS14.06,2014-04-04,6,7.0
327,AS14.06,2014-04-05,6,7.0
328,AS14.06,2014-04-06,6,7.0
329,AS14.06,2014-04-07,6,6.2
330,AS14.06,2014-04-08,6,6.6
331,AS14.06,2014-04-09,6,7.4
332,AS14.06,2014-04-10,6,7.6
333,AS14.06,2014-04-11,6,7.8
334,AS14.06,2014-04-12,6,8.2
335,AS14.06,2014-04-13,6,6.5
336,AS14.06,2014-04-14,6,7.25
337,AS14.06,2014-04-15,6,7.0
338,AS14.06,2014-04-16,6,7.6
339,AS14.06,2014-04-17,6,6.8
340,AS14.06,2014-04-18,6,6.25
341,AS14.06,2014-04-19,6,6.8
342,AS14.06,2014-04-20,6,8.2
343,AS14.06,2014-04-21,6,7.0
344,AS14.06,2014-04-22,6,6.6
345,AS14.06,2014-04-23,6,7.0
346,AS14.06,2014-04-24,6,7.75
347,AS14.06,2014-04-25,6,6.4
348,AS14.06,2014-04-26,6,7.5
349,AS14.06,2014-04-27,6,7.2
350,AS14.06,2014-04-28,6,6.75
351,AS14.06,2014-04-29,6,7.25
352,AS14.06,2014-04-30,6,6.8
353,AS14.06,2014-05-01,6,8.0
354,AS14.06,2014-05-02,6,7.2
355,AS14.06,2014-05-03,6,6.25
356,AS14.06,2014-05-04,6,7.6
357,AS14.06,2014-05-05,6,7.0
363,AS14.07,2014-03-19,8,6.8
364,AS14.07,2014-03-20,8,5.25
365,AS14.07,2014-03-21,8,7.0
366,AS14.07,2014-03-22,8,6.0
367,AS14.07,2014-03-23,8,7.75
368,AS14.07,2014-03-24,8,8.0
369,AS14.07,2014-03-25,8,7.666666666666667
370,AS14.07,2014-03-26,8,6.6
371,AS14.07,2014-03-27,8,6.8
372,AS14.07,2014-03-28,8,8.25
373,AS14.07,2014-03-29,8,7.0
374,AS14.07,2014-03-30,8,6.2
375,AS14.07,2014-03-31,8,4.333333333333333
376,AS14.07,2014-04-01,8,6.6
377,AS14.07,2014-04-02,8,5.5
378,AS14.07,2014-04-03,8,6.2
379,AS14.07,2014-04-04,8,6.5
380,AS14.07,2014-04-05,8,6.0
381,AS14.07,2014-04-06,8,6.75
382,AS14.07,2014-04-07,8,5.4
383,AS14.07,2014-04-08,8,6.8
384,AS14.07,2014-04-09,8,6.4
385,AS14.07,2014-04-10,8,6.2
386,AS14.07,2014-04-11,8,3.5
387,AS14.07,2014-04-12,8,6.4
388,AS14.07,2014-04-13,8,6.5
389,AS14.07,2014-04-14,8,6.2
390,AS14.07,2014-04-15,8,6.0
391,AS14.07,2014-04-16,8,4.75
392,AS14.07,2014-04-17,8,3.8
393,AS14.07,2014-04-18,8,5.2
394,AS14.07,2014-04-19,8,7.0
395,AS14.07,2014-04-20,8,3.0
396,AS14.07,2014-04-21,8,6.6
397,AS14.07,2014-04-22,8,6.0
398,AS14.07,2014-04-23,8,6.0
399,AS14.07,2014-04-24,8,5.6
400,AS14.07,2014-04-25,8,3.333333333333333
401,AS14.07,2014-04-26,8,5.4
402,AS14.07,2014-04-27,8,6.0
403,AS14.07,2014-04-28,8,6.75
404,AS14.07,2014-04-29,8,5.0
405,AS14.07,2014-04-30,8,5.0
406,AS14.07,2014-05-01,8,5.0
407,AS14.07,2014-05-02,8,6.2
408,AS14.07,2014-05-03,8,5.666666666666667
409,AS14.07,2014-05-04,8,8.0
410,AS14.07,2014-05-05,8,5.5
416,AS14.08,2014-03-05,9,6.333333333333333
417,AS14.08,2014-03-06,9,7.2
418,AS14.08,2014-03-07,9,7.4
419,AS14.08,2014-03-08,9,7.0
420,AS14.08,2014-03-09,9,7.2
421,AS14.08,2014-03-10,9,6.8
422,AS14.08,2014-03-11,9,6.6
423,AS14.08,2014-03-12,9,7.0
424,AS14.08,2014-03-13,9,6.6
425,AS14.08,2014-03-14,9,7.4
426,AS14.08,2014-03-15,9,6.4
427,AS14.08,2014-03-16,9,7.0
428,AS14.08,2014-03-17,9,5.4
429,AS14.08,2014-03-18,9,6.4
430,AS14.08,2014-03-19,9,7.0
431,AS14.08,2014-03-20,9,6.4
432,AS14.08,2014-03-21,9,6.6
433,AS14.08,2014-03-22,9,6.4
434,AS14.08,2014-03-23,9,7.2
435,AS14.08,2014-03-24,9,6.8
436,AS14.08,2014-03-25,9,7.2
437,AS14.08,2014-03-26,9,6.5
438,AS14.08,2014-03-27,9,6.333333333333333
439,AS14.08,2014-03-28,9,6.25
440,AS14.08,2014-03-29,9,7.166666666666667
441,AS14.08,2014-03-30,9,6.8
442,AS14.08,2014-03-31,9,7.6
443,AS14.08,2014-04-01,9,7.2
444,AS14.08,2014-04-02,9,6.6
445,AS14.08,2014-04-03,9,7.0
446,AS14.08,2014-04-04,9,7.5
447,AS14.08,2014-04-05,9,7.4
448,AS14.08,2014-04-06,9,7.6
449,AS14.08,2014-04-07,9,7.0
450,AS14.08,2014-04-08,9,6.5
451,AS14.08,2014-04-09,9,6.25
452,AS14.08,2014-04-10,9,7.6
453,AS14.08,2014-04-11,9,7.6
454,AS14.08,2014-04-12,9,7.0
455,AS14.08,2014-04-13,9,7.6
456,AS14.08,2014-04-14,9,6.6
457,AS14.08,2014-04-15,9,6.4
458,AS14.08,2014-04-16,9,6.6
459,AS14.08,2014-04-17,9,6.2
460,AS14.08,2014-04-18,9,6.0
461,AS14.08,2014-04-19,9,7.8
462,AS14.08,2014-04-20,9,6.4
463,AS14.08,2014-04-21,9,6.4
464,AS14.08,2014-04-22,9,6.0
465,AS14.08,2014-04-23,9,5.6
466,AS14.08,2014-04-24,9,6.666666666666667
467,AS14.08,2014-04-25,9,6.333333333333333
468,AS14.08,2014-04-26,9,6.0
469,AS14.08,2014-04-27,9,6.0
470,AS14.08,2014-04-28,9,5.8
471,AS14.08,2014-04-29,9,5.75
472,AS14.08,2014-04-30,9,6.666666666666667
473,AS14.08,2014-05-01,9,7.0
474,AS14.08,2014-05-02,9,7.2
475,AS14.08,2014-05-03,9,7.4
476,AS14.08,2014-05-04,9,6.8
477,AS14.08,2014-05-05,9,6.666666666666667
503,AS14.09,2014-03-21,10,7.0
504,AS14.09,2014-03-22,10,7.0
505,AS14.09,2014-03-23,10,6.75
506,AS14.09,2014-03-24,10,7.25
507,AS14.09,2014-03-25,10,6.2
508,AS14.09,2014-03-26,10,7.75
509,AS14.09,2014-03-27,10,7.8
510,AS14.09,2014-03-28,10,8.25
511,AS14.09,2014-03-29,10,8.0
512,AS14.09,2014-03-30,10,7.75
513,AS14.09,2014-03-31,10,7.0
514,AS14.09,2014-04-01,10,7.6
515,AS14.09,2014-04-02,10,6.2
516,AS14.09,2014-04-03,10,7.6
517,AS14.09,2014-04-04,10,7.25
518,AS14.09,2014-04-05,10,7.5
519,AS14.09,2014-04-06,10,6.8
520,AS14.09,2014-04-07,10,6.2
521,AS14.09,2014-04-08,10,7.2
522,AS14.09,2014-04-09,10,6.5
523,AS14.09,2014-04-10,10,6.0
524,AS14.09,2014-04-11,10,6.8
525,AS14.09,2014-04-12,10,7.0
526,AS14.09,2014-04-13,10,6.0
527,AS14.09,2014-04-14,10,5.8
528,AS14.09,2014-04-15,10,6.0
529,AS14.09,2014-04-16,10,5.5
530,AS14.09,2014-04-17,10,7.0
531,AS14.09,2014-04-18,10,6.6
532,AS14.09,2014-04-19,10,8.0
533,AS14.09,2014-04-20,10,6.25
534,AS14.09,2014-04-21,10,6.5
535,AS14.09,2014-04-22,10,6.6
536,AS14.09,2014-04-23,10,6.333333333333333
537,AS14.09,2014-04-24,10,7.2
538,AS14.09,2014-04-25,10,7.25
539,AS14.09,2014-04-26,10,8.0
540,AS14.09,2014-04-27,10,6.25
541,AS14.09,2014-04-28,10,6.6
542,AS14.09,2014-04-29,10,6.75
543,AS14.09,2014-04-30,10,7.0
544,AS14.09,2014-05-01,10,7.5
545,AS14.09,2014-05-02,10,7.6
546,AS14.09,2014-05-03,10,7.75
547,AS14.09,2014-05-04,10,6.6
548,AS14.09,2014-05-05,10,6.0
576,AS14.12,2014-03-27,12,7.0
577,AS14.12,2014-03-28,12,6.75
578,AS14.12,2014-03-29,12,6.75
579,AS14.12,2014-03-30,12,5.8
580,AS14.12,2014-03-31,12,6.4
581,AS14.12,2014-04-01,12,6.4
582,AS14.12,2014-04-02,12,6.0
583,AS14.12,2014-04-03,12,5.4
584,AS14.12,2014-04-04,12,6.5
585,AS14.12,2014-04-05,12,6.2
586,AS14.12,2014-04-06,12,6.25
587,AS14.12,2014-04-07,12,6.4
588,AS14.12,2014-04-08,12,6.25
589,AS14.12,2014-04-09,12,5.25
590,AS14.12,2014-04-10,12,6.4
591,AS14.12,2014-04-11,12,6.6
592,AS14.12,2014-04-12,12,6.8
593,AS14.12,2014-04-13,12,5.6
594,AS14.12,2014-04-14,12,6.6
595,AS14.12,2014-04-15,12,6.8
596,AS14.12,2014-04-16,12,7.0
597,AS14.12,2014-04-17,12,6.8
598,AS14.12,2014-04-18,12,6.6
599,AS14.12,2014-04-19,12,5.8
600,AS14.12,2014-04-20,12,6.4
601,AS14.12,2014-04-21,12,6.0
602,AS14.12,2014-04-22,12,6.5
603,AS14.12,2014-04-23,12,5.8
604,AS14.12,2014-04-24,12,6.6
605,AS14.12,2014-04-25,12,5.6
606,AS14.12,2014-04-26,12,7.0
607,AS14.12,2014-04-27,12,6.0
608,AS14.12,2014-04-28,12,6.6
609,AS14.12,2014-04-29,12,6.0
610,AS14.12,2014-04-30,12,6.25
611,AS14.12,2014-05-01,12,6.2
612,AS14.12,2014-05-02,12,5.5
613,AS14.12,2014-05-03,12,5.6
614,AS14.12,2014-05-04,12,4.8
615,AS14.12,2014-05-05,12,6.0
635,AS14.13,2014-03-13,13,7.0
636,AS14.13,2014-03-14,13,7.8
637,AS14.13,2014-03-15,13,7.0
